Configuration,Quality,Feature 1,Feature 2,Feature 3,Feature 4
3,0,136,116,107.25,114
2,0,136,118,101,120
3,0,135,117,103.75,118
2,0,136,118,101.5,120
2,0,136,120,94.25,128
3,0,137,120,107.25,116
2,0,136,120,94.25,128
3,0,137,116,104.75,118
2,0,136,118,99.75,120
3,0,137,119,106.75,114
1,0,135,113,104,116
2,0,135,120,96.5,122
3,0,136,117,109.5,112
2,0,135,119,98.75,124
3,0,137,118,108.75,114
2,0,138,120,95.25,126
3,0,135,122,107,112
2,0,137,123,96.25,124
3,0,136,119,105.25,116
2,0,137,122,98,122
3,0,136,116,104,116
2,0,136,120,96.75,124
1,0,134,114,102.25,122
2,0,136,120,103.25,120
3,0,135,118,106.25,114
2,0,136,115,108,118
3,0,136,118,105.75,116
2,0,135,115,106.75,116
2,0,137,121,94.5,128
3,0,138,123,113.75,110
2,0,136,118,100.5,122
3,0,137,118,107.5,116
2,0,137,117,101,122
3,0,137,117,106.25,116
1,0,137,115,100,122
2,0,136,120,96.25,124
3,0,137,115,107.75,114
2,0,137,122,102,120
3,0,142,111,106,116
2,0,138,117,100.5,122
3,0,137,118,105,116
2,0,138,124,94.25,126
3,0,137,118,107.25,112
2,0,138,122,97.5,122
3,0,137,118,106.5,114
2,0,138,122,94.25,128
1,0,135,115,102.25,122
2,0,137,121,101.5,118
3,0,135,116,106.75,116
2,0,137,119,99.5,120
3,0,135,119,102.5,118
2,0,136,117,101,120
2,0,138,123,92.75,130
3,0,137,116,106.75,116
2,0,138,125,93.5,128
3,0,138,121,108,112
2,0,138,122,94.5,128
3,0,139,122,111,112
1,0,135,116,100,128
3,0,138,125,112.25,108
3,0,137,125,112.5,108
3,0,138,124,110.25,112
3,0,140,127,119.5,104
3,0,140,126,117,106
1,0,135,115,95.5,128
2,0,138,119,102.25,120
3,0,136,115,107.25,114
2,0,137,120,103.25,118
3,0,138,119,104.75,116
2,0,136,120,100.25,122
2,0,137,121,93.5,128
3,0,140,123,112,112
2,0,138,120,99.75,126
3,0,140,120,108.25,116
2,0,138,120,94.25,130
3,0,141,118,106.25,116
1,0,132,114,100.5,122
2,0,131,117,99.25,122
3,0,132,116,108,112
2,0,132,116,97.5,122
3,0,132,114,109.75,112
2,0,132,114,99.25,122
3,0,133,117,108.5,114
2,0,132,119,95.5,124
3,0,132,115,106.25,118
2,0,132,114,102.5,120
3,0,132,113,108,114
2,0,132,114,97.75,126
1,0,130,110,100,122
2,0,133,114,101.75,122
3,0,131,114,107,114
2,0,132,114,103.5,120
3,0,131,115,106.25,116
2,0,132,113,101.75,118
2,0,132,118,95,126
3,0,134,118,110,112
2,0,133,115,103,120
3,0,135,116,111.5,112
2,0,133,114,101.25,122
3,0,132,114,106.5,114
1,0,132,113,103.5,120
2,0,132,113,103.5,120
3,0,131,113,109.75,112
2,0,134,115,101.25,120
3,0,139,106,107.75,114
2,0,136,112,97.75,124
3,0,133,117,115.75,108
2,0,132,115,99.25,122
3,0,132,111,110.5,110
2,0,133,118,99.5,120
3,0,132,112,109.25,114
2,0,132,114,101.25,122
1,0,132,111,99.75,122
2,0,132,114,104.5,118
3,0,132,113,104,116
2,0,132,113,104.75,118
3,0,133,115,104.25,118
2,0,132,113,102.75,118
2,0,132,116,98.75,122
3,0,134,118,114,110
2,0,133,115,98,126
3,0,133,114,109.25,114
2,0,133,115,98.75,122
3,0,134,116,106.75,114
1,0,132,115,99.25,126
3,0,135,121,114.5,106
3,0,134,120,109,112
3,0,134,122,119.5,102
3,0,135,122,113.25,106
3,0,135,122,114.25,106
1,0,132,110,106.25,116
2,0,132,117,97.25,122
3,0,132,115,108.75,112
2,0,132,115,98.5,122
3,0,133,113,107,114
2,0,138,109,97.5,124
3,0,134,118,114.25,108
2,0,132,116,98.5,122
3,0,133,118,111.25,110
2,0,133,118,95.5,124
3,0,132,114,109,110
2,0,133,116,98.75,124
1,0,131,110,99.25,122
2,0,132,115,103.5,118
3,0,132,115,106.25,114
2,0,132,112,103.75,118
3,0,132,114,107.25,114
2,0,132,113,102.25,120
2,0,133,118,95.25,126
3,0,141,111,102.5,120
2,0,133,115,103,120
3,0,134,115,108.5,114
2,0,134,117,97.25,126
3,0,134,115,105.25,116
1,0,132,112,103.75,118
2,0,132,120,98.75,124
3,0,132,115,108.5,112
2,0,132,116,96.5,122
3,0,132,115,107.75,112
2,0,133,115,99.75,120
3,0,134,119,116.5,106
2,0,133,119,96.25,122
3,0,132,113,105.25,116
2,0,132,117,99.5,120
3,0,132,112,108.75,114
2,0,133,118,95.25,126
1,0,132,112,98.75,124
2,0,132,117,103.25,118
3,0,132,114,106.75,116
2,0,132,114,103.75,118
3,0,132,115,105,116
2,0,132,114,106.25,116
2,0,133,116,102.25,120
3,0,135,120,116,108
2,0,134,116,101.75,122
3,0,135,118,110.5,110
2,0,133,116,101.25,122
3,0,134,116,108,114
1,0,132,112,100.75,126
3,0,137,123,119.5,104
3,0,135,124,117.75,106
3,0,135,124,119.25,104
3,0,137,126,122,102
3,0,135,122,110.25,108
1,0,132,111,102,120
2,1,146,103,94.25,132
3,0,132,115,105.75,114
2,0,132,115,103.5,120
3,0,133,116,108.25,114
2,0,132,115,107,116
2,0,133,115,99.75,120
3,0,133,116,108,114
2,0,134,116,95.25,126
3,0,134,116,108.5,114
2,0,133,118,97.5,124
3,0,133,115,106.25,116
1,0,132,116,101.75,124
3,0,135,121,112.25,106
3,0,134,124,117.25,104
3,0,136,122,118.75,104
3,0,136,123,115.25,106
3,0,135,124,116,108
1,0,132,112,106.25,116
2,0,132,117,96.5,122
3,0,132,114,108,114
2,0,132,114,100.5,122
3,0,132,113,107,114
2,0,132,116,96.25,124
3,0,134,119,105.25,116
2,0,133,116,102,120
3,0,132,114,108.75,112
2,0,133,117,96.5,124
3,0,133,116,107.75,114
2,0,133,116,100.25,120
1,0,130,112,94,128
2,0,138,110,105.5,118
3,0,132,111,106.75,114
2,0,132,113,104.75,116
3,0,132,112,111.25,114
2,0,132,113,102.75,118
2,0,134,117,98.5,122
3,0,136,120,106.5,114
2,0,134,115,102.75,120
3,0,136,116,110.5,114
2,0,134,116,102,122
3,0,135,116,108.75,114
1,0,132,114,99.5,124
2,0,132,117,98.25,122
3,0,134,118,109.25,112
2,0,133,117,99.25,122
3,0,133,114,108.75,112
2,0,133,115,99.5,120
3,0,135,119,112.5,108
2,0,135,120,96,124
3,0,133,115,108,114
2,0,134,118,97.5,122
3,0,133,116,109.75,110
2,0,134,115,101,122
1,0,133,111,97.5,126
2,0,132,115,107.5,114
3,0,132,115,104.25,114
2,0,133,114,105.25,118
3,0,132,115,106.5,116
2,0,133,115,106,116
2,0,134,117,97.25,124
3,0,137,120,111.25,110
2,0,135,116,101.25,122
3,0,135,115,110,112
2,0,134,114,103.75,118
3,0,135,116,107.25,114
1,0,135,115,99.75,120
2,0,133,120,93.75,126
3,0,132,117,108,112
2,0,133,118,97,124
3,0,135,120,111.75,108
2,0,133,116,97,124
3,0,133,116,112,112
2,0,135,122,96.5,126
3,0,135,120,109.25,112
2,0,134,120,96.75,124
3,0,133,115,111,110
2,0,134,116,98.25,126
1,0,133,114,98.75,126
2,0,134,117,101,120
3,0,132,116,104.5,116
2,0,133,115,104.25,118
3,0,134,116,103.75,120
2,0,135,117,97.75,124
2,0,133,118,96.75,122
3,0,136,119,110.5,110
2,0,136,121,95.25,128
3,0,137,120,111.5,110
2,0,134,117,101.75,120
3,0,135,118,110.25,112
1,0,133,115,99.25,124
3,0,138,123,111,110
3,0,137,120,103.25,114
3,0,138,125,119.5,104
3,0,139,125,118.75,104
3,0,137,124,117.25,106
1,0,133,112,97.25,126
2,0,134,115,102.5,120
3,0,134,116,105.5,116
2,0,135,116,101.25,120
3,0,135,116,105.5,116
2,0,135,116,102,118
2,0,135,117,100.5,120
3,0,135,116,104.25,118
2,0,137,119,98.25,124
3,0,137,116,107.75,114
2,0,136,120,91.75,130
3,0,137,116,102.75,116
1,0,135,112,102.75,116
3,0,138,125,122,100
3,0,138,126,118.5,102
3,0,139,126,119,104
3,0,140,127,118.25,104
3,0,140,128,115.25,106
1,0,135,113,99.75,120
2,0,135,118,101,120
3,0,134,116,107,114
2,0,134,115,99,124
3,0,135,115,109.25,114
2,0,135,116,99.5,120
3,0,135,117,113.5,110
2,0,134,118,102.75,118
3,0,134,113,107.75,114
2,0,135,118,101,120
3,0,135,116,111,110
2,0,135,116,101,122
1,0,133,113,103,120
2,1,150,151,103,120
3,0,135,115,107.75,114
2,0,134,116,102.25,120
3,0,134,116,107.75,114
2,0,134,116,103,118
2,0,135,118,96.75,124
3,0,137,119,113.75,110
2,0,136,118,95.75,126
3,0,135,118,104.5,118
2,0,135,117,98.25,124
3,0,136,118,107,114
1,0,132,115,103.75,120
3,0,137,122,115,106
3,0,136,122,110.75,108
3,0,137,124,115.5,104
3,0,137,123,118,102
3,0,137,122,108,112
1,0,133,111,103.5,120
2,0,132,118,97.75,122
3,0,132,115,106.5,114
2,0,134,116,95.25,128
3,0,132,115,108.75,114
2,0,133,115,100,122
3,0,135,119,110.25,112
2,0,133,120,96.75,124
3,0,135,119,111.75,110
2,0,133,116,103,118
3,0,135,116,105.75,114
2,0,135,117,98,124
1,0,133,111,101.75,124
2,0,133,115,102.5,118
3,0,133,115,106,114
2,0,133,115,104,120
3,0,134,117,103.75,120
2,0,135,114,102.5,118
2,0,135,114,102.5,120
3,0,136,111,105.25,116
2,0,142,110,99,124
3,0,137,115,106,116
2,0,135,117,92.5,128
3,0,136,116,107.25,114
1,0,132,113,103.25,120
2,0,132,119,97.75,122
3,0,132,116,105.5,114
2,0,134,118,99,120
3,0,133,120,106.5,112
2,0,132,116,99.5,124
3,0,135,116,109.75,112
2,0,134,121,97.25,124
3,0,134,115,105.25,114
2,0,135,118,97,122
3,0,134,115,106,114
2,0,133,116,100.25,122
1,0,133,112,101.25,120
2,1,145,113,103.5,120
3,0,133,116,103.25,118
2,0,134,115,106.5,116
3,0,133,118,105,116
2,0,135,115,100.75,120
2,0,135,117,99.25,122
3,0,137,118,109.5,112
2,0,147,110,102.5,124
3,0,139,120,113.5,110
2,0,138,116,99.5,122
3,0,137,119,106.75,112
1,0,132,115,99,126
3,0,138,122,111,108
3,0,137,122,105.5,114
3,0,137,124,112.25,108
3,0,138,125,117.25,106
3,0,137,124,114.25,108
1,0,133,113,99.5,126
2,0,134,117,105,116
3,0,134,115,107.75,114
2,0,135,118,104.5,120
3,0,135,117,105,116
2,0,135,119,101.5,120
2,0,136,117,100.5,120
3,0,136,121,113.5,108
2,0,136,116,102.25,122
3,0,135,115,107.25,114
2,0,135,119,95.25,128
3,0,136,118,109.25,114
1,0,135,110,106.5,114
2,0,135,119,94.25,126
3,0,135,116,110,110
2,0,136,121,96,124
3,0,134,117,108,114
2,0,134,116,101.25,122
3,0,136,118,110.75,110
2,0,136,119,97,124
3,0,135,118,100.75,120
2,0,136,119,101.75,118
3,0,135,115,106.5,114
2,0,135,116,102,122
1,0,133,113,100.75,120
2,0,135,118,103.25,116
3,0,135,116,104,114
2,0,134,115,106,118
3,0,135,117,104,118
2,0,135,114,104.75,116
2,0,139,116,101.5,122
3,0,142,121,112.25,114
2,0,144,113,96.25,128
3,0,139,118,107,116
2,0,137,116,98,124
3,0,137,119,106.75,114
1,0,136,113,104.5,116
2,0,136,121,96.25,124
3,0,135,116,106.75,114
2,0,136,119,94.75,126
3,0,136,115,107.75,114
2,0,137,118,96,124
3,0,137,122,114.75,108
2,0,137,122,95.25,126
3,0,136,115,106,114
2,0,137,120,96.75,122
3,0,135,113,107.5,112
2,0,137,118,97.25,126
1,0,135,113,102,120
2,0,135,118,105.75,116
3,0,135,115,106.75,114
2,0,137,118,102,120
3,0,136,117,104.75,116
2,0,136,116,101,120
2,0,137,120,95.75,126
3,0,138,122,117,108
2,0,142,118,98.25,128
3,0,138,118,107.5,114
2,0,137,118,97.25,126
3,0,138,118,107.5,112
1,0,135,117,97.75,128
3,0,141,127,119.25,106
3,0,139,123,99.25,122
3,0,140,126,114.75,104
3,0,141,125,111.75,106
3,0,124,122,122,96
1,0,137,108,96.75,126
2,0,142,113,99.25,124
3,0,132,116,105,116
2,0,135,119,96.5,126
3,0,135,118,102.5,118
2,0,135,115,100.75,122
2,0,137,116,98.5,122
3,0,137,118,102.5,118
2,0,146,107,100.5,126
3,0,137,112,103.75,118
2,0,135,115,97.75,126
3,0,135,118,107.25,116
1,0,133,113,103.5,116
2,0,134,120,95.25,124
3,0,133,116,108.75,112
2,0,133,116,100.5,120
3,0,133,118,105.5,114
2,0,133,116,101.25,120
3,0,135,120,109.5,112
2,0,135,119,97.5,124
3,0,134,113,106,114
2,0,135,116,103.75,118
3,0,134,113,106.25,114
2,0,135,114,102.75,122
1,0,132,110,103.75,118
2,0,135,115,104.5,118
3,0,135,115,107.5,116
2,0,135,114,105.5,120
3,0,135,116,104.5,118
2,0,134,114,107.75,116
2,0,134,113,103.25,116
3,0,137,117,109.75,112
2,0,136,115,105,118
3,0,137,119,110.25,112
2,0,135,114,103.5,120
3,0,137,120,107.75,114
1,0,134,114,99.25,122
3,0,137,123,111.5,108
3,0,136,121,105.5,112
3,0,138,124,114,106
3,0,139,123,116.75,102
3,0,137,124,115.5,106
1,0,135,115,105,118
2,0,134,119,93,126
3,0,134,115,107.5,112
2,0,136,118,93,128
3,0,135,116,109,114
2,0,133,116,97.75,122
3,0,136,120,107.5,112
2,0,135,120,95.5,126
3,0,136,119,111.75,110
2,0,135,118,97.5,124
3,0,135,119,109.75,110
2,0,135,116,102.25,120
1,0,133,111,97.5,126
2,0,135,115,105.75,116
3,0,134,115,105.5,114
2,0,135,115,104.25,120
3,0,133,116,104,116
2,0,135,115,102,120
2,0,135,116,99,122
3,0,137,116,103.75,118
2,0,138,116,99.25,124
3,0,137,116,104.25,118
2,0,135,118,99.25,122
3,0,136,116,105.5,116
1,0,129,112,101.5,118
2,0,130,117,96.5,124
3,0,132,112,109,110
2,0,130,116,101.75,120
3,0,130,112,108,112
2,0,130,113,98,122
3,0,130,116,108.25,112
2,0,130,116,101.25,120
3,0,131,115,106.25,114
2,0,130,115,101.25,118
3,0,130,114,110.5,112
2,0,132,114,97.75,124
1,0,132,110,97.5,126
2,0,130,113,106.25,114
3,0,131,113,107,114
2,0,130,114,103.5,116
3,0,131,115,107.5,114
2,0,132,115,101.75,118
2,0,132,115,98.75,122
3,0,135,117,111.5,108
2,0,142,109,99.25,124
3,0,133,114,109.25,114
2,0,130,112,103.75,118
3,0,133,114,110,110
1,0,130,111,97.25,122
3,0,134,120,119.5,100
3,0,133,120,114.25,104
3,0,134,122,121.5,102
3,0,135,122,121.25,100
3,0,135,120,110.75,108
1,0,131,111,101.5,120
2,0,131,117,93.75,126
3,0,130,113,110.5,110
2,0,130,114,100.25,122
3,0,132,111,109.5,112
2,0,132,112,100.75,120
3,0,133,116,114.5,106
2,0,130,115,100.25,118
3,0,132,113,112.75,110
2,0,132,115,95.75,122
3,0,132,112,112.5,110
2,0,132,114,98.75,124
1,0,130,112,99.5,124
2,0,132,113,103.5,116
3,0,131,111,107,114
2,0,132,111,103.25,120
3,0,131,113,106.5,114
2,0,131,114,103.25,116
2,0,132,114,102,120
3,0,133,115,108.5,114
2,0,133,113,101.5,122
3,0,132,115,107.5,112
2,0,132,114,100.75,120
3,0,134,115,108.75,112
1,0,131,113,101,122
2,0,132,118,96.5,126
3,0,131,115,109.75,110
2,0,132,116,97,124
3,0,132,113,106.5,112
2,0,132,115,95.5,122
3,0,132,116,109.75,110
2,0,131,116,101,120
3,0,131,113,109.25,110
2,0,132,117,97,124
3,0,132,115,109.5,112
2,0,133,115,99,124
1,0,130,110,95.25,126
2,0,133,117,101,120
3,0,131,115,105.25,114
2,0,132,113,106.25,116
3,0,132,116,103.75,116
2,0,130,115,102.25,118
2,0,133,119,91.75,130
3,0,134,119,110,108
2,0,133,114,103.75,120
3,0,135,117,112.75,108
2,0,132,118,97.5,126
3,0,133,115,113,110
1,0,131,111,99.75,124
3,0,135,119,113.5,106
3,0,134,122,120,106
3,0,137,122,121.75,102
3,0,138,123,112,106
3,0,135,123,117,104
1,0,131,111,95.5,130
2,0,137,113,101.5,120
3,0,133,115,102.5,118
2,0,134,114,101.25,120
3,0,133,116,104.25,118
2,0,133,115,100.75,122
2,0,132,116,97.75,124
3,0,134,119,109.75,110
2,0,133,118,95.5,126
3,0,134,116,106.75,114
2,0,133,116,93.75,128
3,0,133,116,93.75,128
1,0,132,109,105.5,116
2,0,134,116,95.5,126
3,0,132,115,108.25,112
2,0,133,115,97.75,124
3,0,136,111,107.75,114
2,0,139,107,99.75,122
3,0,134,117,110,112
2,0,133,119,96.5,124
3,0,133,113,108.75,112
2,0,134,116,98.5,122
3,0,133,114,110,112
2,0,133,116,97,124
1,0,132,110,97.5,126
2,0,132,115,105.75,114
3,0,132,116,105.5,116
2,0,132,115,105.25,118
3,0,133,116,102,118
2,0,132,115,103,118
2,0,135,115,97.5,126
3,0,136,117,111.5,110
2,0,139,115,95,128
3,0,145,113,104.25,116
2,0,138,115,93.25,128
3,0,138,115,104.5,116
1,0,134,109,106,116
2,0,135,113,97.75,124
3,0,135,113,105,114
2,0,136,116,97.25,126
3,0,138,110,105.25,118
2,0,135,110,99.5,122
3,0,133,117,112.75,110
2,0,132,118,98.25,122
3,0,135,119,112,110
2,0,132,118,93.75,124
3,0,133,116,108.5,110
2,0,132,115,101.5,120
1,0,132,111,95.75,128
2,0,135,118,98,124
3,0,132,115,104.5,116
2,0,132,114,105.5,116
3,0,132,117,100.75,118
2,0,132,114,101.25,118
2,0,137,111,99,122
3,0,137,116,112.25,110
2,0,135,115,99.75,124
3,0,136,118,107.75,116
2,0,133,114,96.75,126
3,0,134,114,105,116
1,0,130,115,100.5,124
3,0,135,120,117.25,102
3,0,134,122,109,108
3,0,135,123,121.25,100
3,0,135,122,117.75,100
3,0,135,121,112.75,108
1,0,132,111,102,120
2,0,131,116,92.75,128
3,0,130,114,105.25,114
2,0,132,116,90.75,130
3,0,132,113,106.25,116
2,0,132,116,92.5,128
3,0,134,120,114.75,106
2,0,132,118,92.75,128
3,0,132,116,109.5,110
2,0,132,117,95.75,124
3,0,132,113,105.25,116
2,0,132,116,96,124
1,0,132,110,94.5,128
2,0,133,116,94.25,128
3,0,132,113,105.5,114
2,0,132,113,102.75,120
3,0,133,111,106.5,116
2,0,132,115,97.5,124
2,0,133,116,93.25,130
3,0,133,116,108,114
2,0,136,112,100,124
3,0,133,116,111,110
2,0,132,116,93.5,128
3,0,134,115,103.25,118
1,0,130,112,103.5,116
2,0,132,118,92,128
3,0,131,116,106,114
2,0,132,115,93.75,126
3,0,132,116,102.75,116
2,0,133,118,94.75,130
3,0,133,116,110.5,110
2,0,133,120,94.25,126
3,0,132,114,107.25,112
2,0,133,118,94.5,126
3,0,133,116,106.5,114
2,0,132,116,95,128
1,0,132,111,93,130
2,0,134,118,94.5,126
3,0,132,112,105.25,116
2,0,132,116,99.25,124
3,0,133,116,104.25,116
2,0,132,114,98.75,122
2,0,134,120,90.75,130
3,0,137,120,112.75,110
2,0,137,116,96.25,126
3,0,135,116,109.5,112
2,0,134,119,93.5,126
3,0,135,115,107.25,114
1,0,132,111,99.75,122
3,0,136,125,118.75,104
3,0,136,122,110,110
3,0,138,124,119,104
3,0,137,123,114,104
3,0,137,126,116.25,104
1,0,132,111,99.5,124
2,0,135,117,98,122
3,0,133,114,104.25,116
2,0,134,116,100.25,124
3,0,134,115,106.75,116
2,0,135,117,97.5,124
2,0,134,116,95.5,124
3,0,135,113,106.25,116
2,0,138,116,94,132
3,0,137,112,105.25,118
2,0,135,118,91.5,132
3,0,137,118,110,112
1,0,131,116,101.5,122
3,0,136,124,118,102
3,0,136,124,118,102
3,0,134,124,119,102
3,0,136,124,118.5,100
3,0,136,123,117.25,102
1,0,132,111,103,120
2,0,132,117,94.75,124
3,0,133,113,107.75,114
2,0,135,115,94.25,128
3,0,142,106,107.25,116
2,0,147,104,98,126
3,0,134,119,112.75,108
2,0,132,119,97.5,122
3,0,134,118,109.75,110
2,0,133,119,94,126
3,0,132,115,109.25,108
2,0,132,118,96.25,124
1,0,132,112,100.25,122
2,0,132,115,101,120
3,0,132,113,105,114
2,0,132,115,101.5,120
3,0,133,117,100.75,120
2,0,133,116,98.75,122
2,0,133,116,98.75,122
3,0,133,117,108.75,112
2,0,134,115,100,124
3,0,133,115,105,116
2,0,134,118,96.25,124
3,0,133,116,102.25,116
1,0,125,107,95.75,128
2,0,126,111,99.25,122
3,0,126,108,105.5,114
2,0,128,112,101.25,118
3,0,128,109,106.25,116
2,0,128,110,96.25,122
3,0,133,117,108.75,112
2,0,134,120,94.25,126
3,0,135,116,106.75,112
2,0,135,116,94,124
3,0,133,113,109,112
2,0,133,116,98.75,124
1,0,130,112,96.75,122
2,0,135,115,95.5,128
3,0,131,114,104.75,114
2,0,132,115,101.75,120
3,0,132,116,102.75,118
2,0,131,115,99,120
2,0,132,115,101.5,120
3,0,132,113,106,114
2,0,134,117,95,126
3,0,133,114,104,116
2,0,135,115,94.75,128
3,0,133,116,105,114
1,0,131,114,95.5,124
3,0,136,123,118.25,102
3,0,136,122,112.25,106
3,0,135,123,112,106
3,0,137,124,116.75,100
3,0,135,123,109.75,110
1,0,132,111,101.25,122
2,0,132,118,95.25,124
3,0,132,113,108.25,112
2,0,134,112,96.25,126
3,0,142,103,104.25,120
2,0,143,103,95.75,128
3,0,135,122,113.25,108
2,0,135,120,89.25,130
3,0,135,116,108.25,112
2,0,134,117,96.75,126
3,0,135,113,106.5,116
2,0,134,115,100,122
1,0,131,112,94.5,126
2,0,133,113,102.5,118
3,0,132,112,107.25,114
2,0,132,115,99.75,120
3,0,132,116,104.5,116
2,0,132,113,97.75,122
2,0,133,115,98,124
3,0,135,118,111.5,110
2,0,134,116,97,124
3,0,133,115,105,118
2,0,134,116,98.5,124
3,0,132,115,102.5,118
1,0,132,112,102,120
2,0,133,116,93.25,126
3,0,132,114,106.75,112
2,0,134,116,95.5,128
3,0,133,111,108,116
2,0,133,114,98.25,122
3,0,133,118,109.75,112
2,0,134,121,93.5,126
3,0,132,116,103.25,120
2,0,132,116,99.75,120
3,0,133,113,106,114
2,0,132,115,99,124
1,0,131,112,97,122
2,0,133,115,104.25,118
3,0,132,114,107.75,114
2,0,133,115,99.75,122
3,0,134,116,102.5,118
2,0,134,115,101.75,120
2,0,133,117,95.75,126
3,0,135,118,110.5,110
2,0,134,115,100.5,122
3,0,133,115,107.25,116
2,0,133,116,95.25,126
3,0,133,116,103.25,118
1,0,132,114,102.5,118
2,0,132,118,95,124
3,0,131,116,106,114
2,0,132,116,90.75,132
3,0,132,118,102,116
2,0,132,115,94.5,126
3,0,133,117,109.75,112
2,0,133,120,93,128
3,0,132,116,110,110
2,0,132,116,97.5,122
3,0,132,116,109.5,110
2,0,133,115,96.5,126
1,0,130,109,100,122
2,0,132,115,101.25,118
3,0,132,113,105.5,116
2,0,132,115,97.5,124
3,0,133,115,104.5,116
2,0,132,114,98.25,120
2,0,133,118,94.75,126
3,0,134,120,110.5,110
2,0,133,117,98.25,124
3,0,134,119,114,108
2,0,132,116,96,126
3,0,134,116,110.75,110
1,0,132,112,99.25,126
3,0,136,123,118.25,104
3,0,135,120,105,114
3,0,136,122,114.5,106
3,0,137,124,114.25,106
3,0,136,122,108.5,110
1,0,131,111,98.75,126
2,0,132,116,101,118
3,0,132,113,105,114
2,0,132,116,97.75,124
3,0,132,115,102.25,118
2,0,133,116,97.5,122
2,0,133,119,92.75,128
3,0,134,118,108.5,114
2,0,133,116,96.25,124
3,0,133,115,103.5,118
2,0,134,120,90.5,132
3,0,134,116,107.5,112
1,0,135,112,100,122
2,0,135,120,93.25,128
3,0,133,118,107.25,114
2,0,133,115,96,124
3,0,133,115,107.5,114
2,0,136,116,91.5,130
3,0,137,122,112.5,108
2,0,134,121,94.5,126
3,0,135,116,107.5,112
2,0,133,118,97.5,122
3,0,135,116,108.5,112
2,0,136,119,91.5,130
1,0,133,111,102.25,120
2,0,135,116,102.5,118
3,0,134,115,103.25,116
2,0,134,115,105.75,118
3,0,134,116,104.5,118
2,0,134,114,105.75,118
2,0,134,117,98,124
3,0,137,120,112.75,108
2,0,135,117,100.5,122
3,0,135,117,109,112
2,0,136,119,93.75,130
3,0,135,118,104.75,116
1,0,133,115,98.75,124
3,0,138,125,118,104
3,0,135,123,117.25,108
3,0,138,125,114,106
3,0,138,126,111,106
3,0,138,127,114.75,106
1,0,133,113,96,128
2,0,135,117,98.5,122
3,0,135,118,103.5,116
2,0,135,118,98.5,124
3,0,134,117,102.25,118
2,0,133,116,105.75,116
2,0,135,118,98.5,126
3,0,137,120,108.25,112
2,0,135,116,98.5,124
3,0,134,116,102.25,118
2,0,134,118,95,128
3,0,135,116,105.25,114
1,0,133,116,98.5,126
3,0,138,123,117.75,102
3,0,137,125,118.5,102
3,0,138,126,119,102
3,0,139,125,116.25,102
3,0,137,123,110.25,108
1,0,135,114,99.5,122
2,0,135,119,92.5,128
3,0,133,113,108,114
2,0,134,116,95.5,126
3,0,134,114,107,114
2,0,135,116,100.25,126
3,0,137,122,112.75,108
2,0,133,118,95.75,126
3,0,135,118,108,116
2,0,135,121,94,126
3,0,134,116,109.75,112
2,0,134,118,95.75,124
1,0,133,112,100.5,124
2,0,135,116,100.75,122
3,0,134,114,103.75,116
2,0,133,117,104,122
3,0,135,116,103.5,116
2,0,134,115,104.75,118
2,0,134,117,96.25,124
3,0,133,118,106,114
2,0,135,116,98.75,124
3,0,135,118,107.5,114
2,0,135,116,98.5,124
3,0,135,117,104.25,116
1,0,140,107,102.5,120
2,0,132,118,94.5,126
3,0,131,114,105,114
2,0,137,115,93,128
3,0,136,113,104.25,116
2,0,139,109,92,132
3,0,134,120,107.5,112
2,0,133,117,99.25,122
3,0,132,114,104.75,114
2,0,134,119,95.5,124
3,0,133,111,107,112
2,0,133,115,99.25,124
1,0,132,111,95.5,126
2,0,135,122,101.5,120
3,0,134,115,106.25,114
2,0,135,119,97.5,126
3,0,134,117,103.5,118
2,0,133,115,99.25,120
2,0,134,118,98.25,124
3,0,134,116,108.25,112
2,0,135,120,94.25,126
3,0,134,117,112,110
2,0,133,117,95.75,124
3,0,134,115,101.5,118
1,0,133,113,96,126
3,0,137,125,117.75,104
3,0,136,125,116.5,106
3,0,138,124,114.75,104
3,0,138,125,116.5,104
3,0,138,125,115.25,104
1,0,132,112,98.75,122
2,0,134,117,97.25,120
3,0,133,115,105.5,116
2,0,134,117,99.75,122
3,0,133,118,103.5,116
2,0,133,115,102,118
2,0,134,120,94.75,128
3,0,133,115,105.5,116
2,0,135,118,93.75,130
3,0,133,114,102.75,120
2,0,135,118,91.75,132
3,0,135,116,107.5,116
1,0,133,111,100.75,124
2,0,137,116,92,128
3,0,138,110,105.25,118
2,0,138,111,98.75,122
3,0,146,103,105.5,122
2,0,137,111,100,122
3,0,135,120,116.5,108
2,0,134,117,99,124
3,0,135,119,113.25,110
2,0,133,117,96.5,122
3,0,134,116,110.25,110
2,0,134,115,99,124
1,0,132,111,98.75,126
2,0,138,118,97,124
3,0,135,117,100.25,118
2,0,135,116,98.5,122
3,0,133,117,103.75,116
2,0,133,116,101.75,120
2,0,133,116,100.75,120
3,0,133,115,105.5,112
2,0,135,118,97,126
3,0,137,119,113,110
2,0,134,115,101,122
3,0,136,118,109,112
1,0,133,113,101.5,122
3,0,137,125,116,104
3,0,138,124,114.25,108
3,0,138,123,112.25,106
3,0,140,127,115,104
3,0,139,125,115.5,108
1,0,133,110,96.75,126
2,0,135,116,97,122
3,0,133,114,105.25,116
2,0,135,117,96,126
3,0,134,113,102.75,116
2,0,135,120,94.75,126
2,0,135,120,91.75,130
